xName,size,shape,fill,stroke,strokeWidth,Kd(nM),KMap-name,KMap-type,KMap-source,KMap-setId
MNK2,50,pentagon,Silver,LightGrey,,,,,,
MLKL,50,pentagon,Silver,LightGrey,,,,,,
MARK4,50,pentagon,Silver,LightGrey,,,,,,
MLK4,50,pentagon,Silver,LightGrey,,,,,,
MLK1,50,pentagon,Silver,LightGrey,,,,,,
MET,50,pentagon,Silver,LightGrey,,,,,,
MER,50,pentagon,Silver,LightGrey,,,,,,
MELK,50,pentagon,Silver,LightGrey,,,,,,
MASTL,50,pentagon,Silver,LightGrey,,,,,,
PLK3,50,pentagon,Silver,LightGrey,,,,,,
PRP4,50,pentagon,Silver,LightGrey,,,,,,
KSR2,50,pentagon,Silver,LightGrey,,,,,,
TTN,50,pentagon,Silver,LightGrey,,,,,,
ULK3,50,pentagon,Silver,LightGrey,,,,,,
ULK2,50,pentagon,Silver,LightGrey,,,,,,
ULK1,50,pentagon,Silver,LightGrey,,,,,,
Trb1,50,pentagon,Silver,LightGrey,,,,,,
TYK2_b,50,pentagon,Silver,LightGrey,,,,,,
TYK2,50,pentagon,Silver,LightGrey,,,,,,
TTK,50,pentagon,Silver,LightGrey,,,,,,
VRK1,50,pentagon,Silver,LightGrey,,,,,,
TTBK2,50,pentagon,Silver,LightGrey,,,,,,
TTBK1,50,pentagon,Silver,LightGrey,,,,,,
TRKC,50,pentagon,Silver,LightGrey,,,,,,
TRKB,50,pentagon,Silver,LightGrey,,,,,,
TRKA,50,pentagon,Silver,LightGrey,,,,,,
TNIK,50,pentagon,Silver,LightGrey,,,,,,
ULK4,50,pentagon,Silver,LightGrey,,,,,,
VRK2,50,pentagon,Silver,LightGrey,,,,,,
TIE2,50,pentagon,Silver,LightGrey,,,,,,
ZAP70,50,pentagon,Silver,LightGrey,,,,,,
EGFR,50,pentagon,RoyalBlue,LightGrey,,,,,,
p70S6K,50,pentagon,Silver,LightGrey,,,,,,
p38g,50,pentagon,Silver,LightGrey,,,,,,
p38d,50,pentagon,Silver,LightGrey,,,,,,
p38b,50,pentagon,Silver,LightGrey,,,,,,
p38a,50,pentagon,Silver,LightGrey,,,,,,
ZAK,50,pentagon,Silver,LightGrey,,,,,,
VRK3,50,pentagon,Silver,LightGrey,,,,,,
YSK1,50,pentagon,Silver,LightGrey,,,,,,
YANK1,50,pentagon,Silver,LightGrey,,,,,,
Wnk3,50,pentagon,Silver,LightGrey,,,,,,
Wnk1,50,pentagon,Silver,LightGrey,,,,,,
Wee1B,50,pentagon,Silver,LightGrey,,,,,,
Wee1,50,pentagon,Silver,LightGrey,,,,,,
TLK2,50,pentagon,Silver,LightGrey,,,,,,
TGFbR2,50,pentagon,Silver,LightGrey,,,,,,
PYK2,50,pentagon,Silver,LightGrey,,,,,,
ROCK1,50,pentagon,Silver,LightGrey,,,,,,
RSK1,50,pentagon,Silver,LightGrey,,,,,,
ROS,50,pentagon,Silver,LightGrey,,,,,,
ROR2,50,pentagon,Silver,LightGrey,,,,,,
ROR1,50,pentagon,Silver,LightGrey,,,,,,
RON,50,pentagon,Silver,LightGrey,,,,,,
ROCK2,50,pentagon,Silver,LightGrey,,,,,,
RNAseL,50,pentagon,Silver,LightGrey,,,,,,
RSK2,50,pentagon,Silver,LightGrey,,,,,,
